"Municipio","Departamento","Matemática","Lenguaje","Promedio","Evaluados"
"SUSA","CUNDINAMARCA",44.25,47.07,0.53,81
"TOPAGA","BOYACÁ",45.27,46.47,0.53,45
"TENZA","BOYACÁ",45.16,46.53,0.53,49
"GACHETA","CUNDINAMARCA",44.57,46.87,0.53,145
"MUTISCUA","NORTE SANTANDER",46.74,45.59,0.53,34
"RISARALDA","CALDAS",42.58,48.02,0.53,103
"GUADALUPE","ANTIOQUIA",43.15,47.64,0.53,33
"COTA","CUNDINAMARCA",43.43,47.47,0.53,225
"GONZALEZ","CESAR",44.77,46.68,0.53,31
"CHIMA","SANTANDER",44.06,47.09,0.53,33
"VILLAGOMEZ","CUNDINAMARCA",43.81,47.22,0.53,27
"SOLEDAD","ATLÁNTICO",44.82,46.6,0.53,3059
"BUESACO","NARIÑO",44.49,46.78,0.53,142
"SAN JOSE DEL PALMAR","CHOCÓ",43.58,47.32,0.53,38
"GRANADA","META",44.18,46.97,0.53,792
"SABANALARGA","CASANARE",45.12,46.39,0.53,57
"JERICO","ANTIOQUIA",42.75,47.77,0.53,182
"MACHETA","CUNDINAMARCA",44.41,46.78,0.52,101
"VENADILLO","TOLIMA",44.63,46.64,0.52,101
"COLOMBIA","HUILA",47.13,45.17,0.52,47
"ANOLAIMA","CUNDINAMARCA",44.26,46.84,0.52,243
"SANTUARIO","RISARALDA",44.44,46.72,0.52,119
"GUAPOTA","SANTANDER",47.43,44.96,0.52,28
"PINCHOTE","SANTANDER",45.06,46.35,0.52,77
"SANTA BARBARA","ANTIOQUIA",43.89,47.02,0.52,254
"GACHANCIPA","CUNDINAMARCA",43.63,47.17,0.52,100
"GAMEZA","BOYACÁ",45.02,46.35,0.52,55
"HONDA","TOLIMA",44.77,46.49,0.52,283
"FLORENCIA","CAQUETÁ",44.01,46.93,0.52,1603
"EL DOVIO","VALLE",42.68,47.7,0.52,82
"SUPATA","CUNDINAMARCA",43.48,47.21,0.52,85
"CARTAGO","VALLE",43.88,46.96,0.52,1324
"ACACIAS","META",44.62,46.51,0.52,1003
"HERVEO","TOLIMA",43.2,47.34,0.52,73
"TAMESIS","ANTIOQUIA",43.09,47.4,0.52,169
"TUTASA","BOYACÁ",47.47,44.83,0.52,34
"GRANADA","ANTIOQUIA",44.35,46.66,0.52,96
"RIONEGRO","ANTIOQUIA",43.98,46.86,0.52,1743
"SOCHA","BOYACÁ",43.94,46.87,0.52,134
"PALESTINA","CALDAS",43.58,47.08,0.52,172
"SINCELEJO","SUCRE",44.4,46.59,0.52,2914
"BELLO","ANTIOQUIA",43.33,47.22,0.52,3555
"COMBITA","BOYACÁ",44.55,46.49,0.52,115
"NUNCHIA","CASANARE",45,46.2,0.52,87
"CALARCA","QUINDÍO",43.34,47.16,0.52,879
"SAN MARTIN","CESAR",43.81,46.86,0.51,174
"SAN PABLO","NARIÑO",44.5,46.45,0.51,169
"MACARAVITA","SANTANDER",45.85,45.65,0.51,40
"TAURAMENA","CASANARE",43.77,46.86,0.51,298
"OCAMONTE","SANTANDER",45.17,46.03,0.51,71
"LINARES","NARIÑO",44.26,46.55,0.51,105
"EL CARMEN","CHOCÓ",44.62,46.33,0.51,87
"SOACHA","CUNDINAMARCA",43.59,46.92,0.51,3353
"LIBANO","TOLIMA",43.48,46.99,0.51,406
"CUCUTILLA","NORTE SANTANDER",46.16,45.42,0.51,75
"FOMEQUE","CUNDINAMARCA",44.78,46.22,0.51,173
"SAN VICENTE DE CHUCURI","SANTANDER",43.51,46.96,0.51,448
"SAN FRANCISCO","CUNDINAMARCA",42.66,47.45,0.51,94
