"Municipio","Departamento","Lenguaje","Evaluados"
"TENA","CUNDINAMARCA",46.83,85
"VILLAHERMOSA","TOLIMA",46.83,73
"CAICEDONIA","VALLE",46.82,343
"CUMARAL","META",46.81,256
"GUATEQUE","BOYACÁ",46.81,172
"MELGAR","TOLIMA",46.81,395
"SUAZA","HUILA",46.81,104
"VALPARAISO","CAQUETÁ",46.81,58
"BUESACO","NARIÑO",46.78,142
"CHIPATA","SANTANDER",46.78,45
"MACHETA","CUNDINAMARCA",46.78,101
"NEMOCON","CUNDINAMARCA",46.78,129
"OPORAPA","HUILA",46.76,91
"SAN VICENTE","ANTIOQUIA",46.73,215
"SANTUARIO","RISARALDA",46.72,119
"VILLANUEVA","SANTANDER",46.72,110
"SALENTO","QUINDÍO",46.71,80
"TIMBIO","CAUCA",46.71,315
"AGUADAS","CALDAS",46.7,279
"LA BELLEZA","SANTANDER",46.7,53
"SAN LUIS DE GACENO","BOYACÁ",46.7,59
"SAN PEDRO","SUCRE",46.7,218
"VIRACACHA","BOYACÁ",46.7,27
"BELEN","NARIÑO",46.69,104
"SAN JUAN DE RIO SECO","CUNDINAMARCA",46.69,121
"GONZALEZ","CESAR",46.68,31
"LA CRUZ","NARIÑO",46.68,246
"LANDAZURI","SANTANDER",46.68,130
"TENJO","CUNDINAMARCA",46.68,220
"CHOACHI","CUNDINAMARCA",46.67,166
"GRANADA","ANTIOQUIA",46.66,96
"CIENEGA","BOYACÁ",46.65,54
"GIGANTE","HUILA",46.65,321
"SANTA SOFIA","BOYACÁ",46.65,34
"VENADILLO","TOLIMA",46.64,101
"LA ESPERANZA","NORTE SANTANDER",46.63,57
"ALBANIA","SANTANDER",46.62,50
"CHIPAQUE","CUNDINAMARCA",46.61,74
"CHIVATA","BOYACÁ",46.61,41
"FLORIAN","SANTANDER",46.61,68
"QUIMBAYA","QUINDÍO",46.6,429
"SAMANIEGO","NARIÑO",46.6,341
"SOLEDAD","ATLÁNTICO",46.6,3059
"CASABIANCA","TOLIMA",46.59,60
